,Word,Bert,Distilbert
1750,candy,-2.39E-05,3.28E-06
1751,scott,-2.38E-05,-9.13E-06
1752,audi,-2.38E-05,-5.05E-05
1753,earl,-2.38E-05,4.84E-06
1754,notice,-2.38E-05,-7.25E-07
1755,grew,-2.38E-05,-6.07E-06
1756,pumpkin,-2.37E-05,-2.29E-06
1757,trousers,-2.37E-05,1.60E-05
1758,lava,-2.37E-05,-1.84E-05
1759,discovering,-2.37E-05,5.02E-06
1760,marsh,-2.37E-05,-2.54E-05
1761,singer,-2.37E-05,-2.26E-05
1762,dial,-2.36E-05,-2.57E-05
1763,memphis,-2.36E-05,-1.56E-05
1764,preferred,-2.36E-05,-1.33E-05
1765,thinking,-2.36E-05,-2.32E-07
1766,popping,-2.36E-05,-2.46E-05
1767,review,-2.36E-05,-1.45E-05
1768,budget,-2.35E-05,9.87E-06
1769,fascinated,-2.35E-05,-5.83E-05
1770,kinda,-2.35E-05,-9.84E-06
1771,edit,-2.35E-05,-5.97E-06
1772,easy,-2.35E-05,-1.32E-06
1773,row,-2.34E-05,-1.65E-05
1774,tune,-2.34E-05,-1.53E-05
1775,obsessed,-2.34E-05,-1.13E-05
1776,bump,-2.34E-05,-1.60E-06
1777,dorm,-2.32E-05,-1.60E-05
1778,opposite,-2.31E-05,-4.04E-06
1779,hottest,-2.31E-05,-1.51E-05
1780,insight,-2.31E-05,-5.03E-06
1781,visits,-2.31E-05,-5.88E-05
1782,rap,-2.31E-05,1.03E-05
1783,qui,-2.30E-05,1.82E-06
1784,miracle,-2.30E-05,-7.66E-06
1785,tower,-2.30E-05,-1.46E-05
1786,clothing,-2.29E-05,7.38E-06
1787,description,-2.28E-05,4.80E-06
1788,across,-2.27E-05,-9.95E-06
1789,design,-2.27E-05,-1.77E-05
1790,anything,-2.27E-05,-1.28E-05
1791,serve,-2.27E-05,-2.80E-05
1792,app,-2.26E-05,-1.43E-05
1793,lobby,-2.26E-05,-3.28E-05
1794,vanilla,-2.26E-05,1.10E-05
1795,groceries,-2.25E-05,-4.38E-05
1796,engineering,-2.25E-05,-4.21E-06
1797,classmates,-2.25E-05,-2.93E-05
1798,draw,-2.25E-05,-2.36E-05
1799,admit,-2.24E-05,-2.73E-05
1800,page,-2.24E-05,-1.23E-05
1801,sounded,-2.24E-05,1.25E-05
1802,expert,-2.23E-05,-1.12E-05
1803,trent,-2.23E-05,-2.92E-05
1804,male,-2.23E-05,-8.28E-06
1805,learning,-2.23E-05,-3.37E-06
1806,past,-2.22E-05,-1.63E-05
1807,machines,-2.22E-05,-1.50E-05
1808,often,-2.21E-05,-2.74E-06
1809,tricks,-2.20E-05,-5.61E-06
1810,tasks,-2.20E-05,-2.11E-05
1811,thoroughly,-2.20E-05,-1.72E-05
1812,mitch,-2.20E-05,-2.16E-05
1813,south,-2.19E-05,1.28E-06
1814,guide,-2.19E-05,-2.90E-05
1815,ted,-2.19E-05,-8.22E-06
1816,flow,-2.18E-05,-3.13E-05
1817,rick,-2.17E-05,1.83E-05
1818,peppers,-2.16E-05,3.10E-05
1819,haven,-2.16E-05,-5.24E-06
1820,sweater,-2.16E-05,-1.26E-05
1821,got,-2.15E-05,-1.56E-05
1822,pleased,-2.15E-05,-2.92E-05
1823,physics,-2.15E-05,-1.56E-05
1824,breaking,-2.14E-05,-1.77E-05
1825,2010,-2.14E-05,4.79E-06
1826,slice,-2.14E-05,-2.08E-05
1827,quick,-2.14E-05,3.12E-06
1828,grabbing,-2.13E-05,-1.03E-05
1829,levels,-2.12E-05,-2.44E-05
1830,echo,-2.12E-05,5.92E-06
1831,math,-2.11E-05,-1.19E-05
1832,lap,-2.11E-05,-1.67E-05
